codigoInterno,Nom Reducido,idItem,idTipoIVA,idTipoIVA,idCategoria,IDSubRubro,Codigo_de_Envase_asociado,Porc_de_Impuesto_Interno,precio_final,FechaUltimoPrecio,FechaUltimoPrecio,descrip reducida,Eliminacion_de_item,Tipo de Unidad,Unidad,Dias_de_Vencimiento,Tamanio de Letra,FechaUltimoPrecio,FechaUltimoPrecio,Codigo_Adicional,Permite_Modif_Descripcion,Precio adicional de venta con IVA,Codigo de Plantilla de Etiqueta,Codigo de IVA Diferencial,UltimoPrecio,Precio_de_Oferta_Etiquetas,IDProducto,Codigo_de_envase_asociado_ERP,Monto_de_Impuesto_Interno,idTipoIVA,idTipoIVA,Aplica_Percepcion_5329,Costo _el_articulo,idProveedor,IDRubro,idMarca,Fecha Inicio,Fecha Fin
8030,NORMORYTMIN 150 mg comp.rec.x 50,0,1,1,0,0,0,0,"37151,55",16/12/2024,16/12/2024,NORMORYTMIN 150 mg comp.rec.x 50,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"26921,413", ,1000100806, ,-1,1,1,N,-1,0,1,638,1/12/2024,31/12/2024
8032,DEPAKENE caps.x 50,0,1,1,0,0,0,0,"31729,16",16/12/2024,16/12/2024,DEPAKENE caps.x 50,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"22992,145", ,1000101801, ,-1,1,1,N,-1,0,1,639,1/12/2024,31/12/2024
8033,DEPAKENE jbe.x 120 ml,0,1,1,0,0,0,0,"17595,89",16/12/2024,16/12/2024,DEPAKENE jbe.x 120 ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"12750,645", ,1000101802, ,-1,1,1,N,-1,0,1,639,1/12/2024,31/12/2024
8035,VALCOTE 250 mg comp.x 50,0,1,1,0,0,0,0,"38101,17",16/12/2024,16/12/2024,VALCOTE 250 mg comp.x 50,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"27609,543", ,1000102602, ,-1,1,1,N,-1,0,1,622,1/12/2024,31/12/2024
8036,VALCOTE 500 mg comp.x 50,0,1,1,0,0,0,0,"68156,36",16/12/2024,16/12/2024,VALCOTE 500 mg comp.x 50,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"49388,667", ,1000102603, ,-1,1,1,N,-1,0,1,622,1/12/2024,31/12/2024
8038,KLARICID 500 mg comp.x 8,0,1,1,0,0,0,0,"22317,03",16/12/2024,16/12/2024,KLARICID 500 mg comp.x 8,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"16171,761", ,1000102809, ,-1,1,1,N,-1,0,1,640,1/12/2024,31/12/2024
8048,TIADYL 8 mg comp.x 30,0,1,1,0,0,0,0,"57717,63",16/12/2024,16/12/2024,TIADYL 8 mg comp.x 30,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"41824,37", ,1000104702, ,-1,1,1,N,-1,0,1,643,1/12/2024,31/12/2024
8049,TIADYL 16 mg comp.x 30,0,1,1,0,0,0,0,"100332,29",16/12/2024,16/12/2024,TIADYL 16 mg comp.x 30,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"72704,558", ,1000104704, ,-1,1,1,N,-1,0,1,643,1/12/2024,31/12/2024
8053,NORMORYTMIN 150 mg comp.rec.x 20,0,1,1,0,0,0,0,"17108,96",16/12/2024,16/12/2024,NORMORYTMIN 150 mg comp.rec.x 20,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"12397,797", ,1000108101, ,-1,1,1,N,-1,0,1,638,1/12/2024,31/12/2024
8056,VALCOTE ER 500 mg comp.lib.cont.x50,0,1,1,0,0,0,0,"67742,49",16/12/2024,16/12/2024,VALCOTE ER 500 mg comp.lib.cont.x50,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"49088,761", ,1000109801, ,-1,1,1,N,-1,0,1,622,1/12/2024,31/12/2024
8057,TIADYL PLUS 16 mg comp.x 30,0,1,1,0,0,0,0,"89020,07",16/12/2024,16/12/2024,TIADYL PLUS 16 mg comp.x 30,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"64507,297", ,1000110002, ,-1,1,1,N,-1,0,1,643,1/12/2024,31/12/2024
8151,CEFADUO 1 g comp.rec.x 10,0,1,1,0,0,0,0,7700,16/12/2024,16/12/2024,CEFADUO 1 g comp.rec.x 10,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"5579,71", ,1000700054, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
8159,SALBUTRAL sol.p/nebul.x 20 ml,0,1,1,0,0,0,0,4200,16/12/2024,16/12/2024,SALBUTRAL sol.p/nebul.x 20 ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"3043,478", ,1000701601, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
8164,CEFADROX 500 mg comp.rec.x 10,0,1,1,0,0,0,0,7000,16/12/2024,16/12/2024,CEFADROX 500 mg comp.rec.x 10,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"5072,464", ,1000705701, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
8165,IBUSOL PEDIATRICO susp.x 100 ml,0,1,1,0,0,0,0,4900,16/12/2024,16/12/2024,IBUSOL PEDIATRICO susp.x 100 ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"3550,725", ,1000705901, ,-1,1,1,N,-1,0,1,682,1/12/2024,31/12/2024
8315,INQUETIA 25 mg comp.x 30,0,1,1,0,0,0,0,"40015,67",14/12/2024,14/12/2024,INQUETIA 25 mg comp.x 30,N,1,1,5,0,14/12/2024,14/12/2024,*,N,0,-1,0,"28996,862", ,1001300067, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
8316,INQUETIA 100 mg comp.x 30,0,1,1,0,0,0,0,"67473,44",14/12/2024,14/12/2024,INQUETIA 100 mg comp.x 30,N,1,1,5,0,14/12/2024,14/12/2024,*,N,0,-1,0,"48893,797", ,1001300068, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
8317,INQUETIA 200 mg comp.x 30,0,1,1,0,0,0,0,"82759,6",14/12/2024,14/12/2024,INQUETIA 200 mg comp.x 30,N,1,1,5,0,14/12/2024,14/12/2024,*,N,0,-1,0,"59970,725", ,1001300069, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
8469,DIOXADOL comp.x 10,0,1,1,0,0,0,0,"6306,41",14/12/2024,14/12/2024,DIOXADOL comp.x 10,N,1,1,5,0,14/12/2024,14/12/2024,*,N,0,-1,0,"4569,862", ,1002100032, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
8632,URODIF DUO caps.lib.modificada x 30,0,1,1,0,0,0,0,"68044,39",16/12/2024,16/12/2024,URODIF DUO caps.lib.modificada x 30,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"49307,529", ,1002100352, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
8731,DIOXADOL sol.x 30 ml,0,1,1,0,0,0,0,"10982,19",14/12/2024,14/12/2024,DIOXADOL sol.x 30 ml,N,1,1,5,0,14/12/2024,14/12/2024,*,N,0,-1,0,"7958,109", ,1002101804, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
8732,DIOXADOL jbe.x 200 ml,0,1,1,0,0,0,0,"14130,67",14/12/2024,14/12/2024,DIOXADOL jbe.x 200 ml,N,1,1,5,0,14/12/2024,14/12/2024,*,N,0,-1,0,"10239,616", ,1002101806, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9655,MEPACT 4 mg vial x 1,0,1,1,0,0,0,0,"11816860,07",16/12/2024,16/12/2024,MEPACT 4 mg vial x 1,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"8562942,08", ,1003900089, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9658,MYVITLA 2.3 mg caps.x 3,0,1,1,0,0,0,0,"16524703,58",16/12/2024,16/12/2024,MYVITLA 2.3 mg caps.x 3,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"11974422,88", ,1003900092, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9659,MYVITLA 3 mg caps.x 3,0,1,1,0,0,0,0,"16524703,58",16/12/2024,16/12/2024,MYVITLA 3 mg caps.x 3,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"11974422,88", ,1003900093, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9660,MYVITLA 4 mg caps.x 3,0,1,1,0,0,0,0,"16524703,58",16/12/2024,16/12/2024,MYVITLA 4 mg caps.x 3,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"11974422,88", ,1003900094, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9661,ENTYVIO 300 mg vial x 1,0,1,1,0,0,0,0,"5259313,48",16/12/2024,16/12/2024,ENTYVIO 300 mg vial x 1,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"3811096,725", ,1003900095, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9662,FIRAZYR 30 MG jga. prellenada x 3 ml,0,1,1,0,0,0,0,"4819503,16",16/12/2024,16/12/2024,FIRAZYR 30 MG jga. prellenada x 3 ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"3492393,594", ,1003900096, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9663,QDENGA vial x1+dil.x0.5ml+ag.x2,0,1,1,0,0,0,0,"102811,99",16/12/2024,16/12/2024,QDENGA vial x1+dil.x0.5ml+ag.x2,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"74501,442", ,1003900097, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9664,LIVTENCITY 200 mg comp.rec.x 28,0,1,1,0,0,0,0,"9631778,36",16/12/2024,16/12/2024,LIVTENCITY 200 mg comp.rec.x 28,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"6979549,536", ,1003900098, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9680,MUELITA sol.x 15 ml,0,1,1,0,0,0,0,"8112,83",16/12/2024,16/12/2024,MUELITA sol.x 15 ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"5878,862", ,1004300001, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9681,MUELITA GEL ADULTOS gel pomo x 10 g,0,1,1,0,0,0,0,"7659,88",16/12/2024,16/12/2024,MUELITA GEL ADULTOS gel pomo x 10 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"5550,638", ,1004300002, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9682,MUELITA GEL PEDIATRICO gel pomo x 10 g,0,1,1,0,0,0,0,"8111,92",16/12/2024,16/12/2024,MUELITA GEL PEDIATRICO gel pomo x 10 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"5878,203", ,1004300003, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9683,MUELITA FORTE GEL gel pomo x 10 g,0,1,1,0,0,0,0,"8086,82",16/12/2024,16/12/2024,MUELITA FORTE GEL gel pomo x 10 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"5860,014", ,1004300007, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9684,REUMOL DICLO FORTE GEL pomo x 50 g,0,1,1,0,0,0,0,"11429,59",16/12/2024,16/12/2024,REUMOL DICLO FORTE GEL pomo x 50 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"8282,312", ,1004300008, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9686,OPALINO gts.x 15 ml,0,1,1,0,0,0,0,"8695,38",16/12/2024,16/12/2024,OPALINO gts.x 15 ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,6301, ,1004300010, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9687,REUMOL DESINFLAMANTE crema x 45 g,0,1,1,0,0,0,0,"8128,3",16/12/2024,16/12/2024,REUMOL DESINFLAMANTE crema x 45 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"5890,072", ,1004300011, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9688,REUMOL DESINFLAMANTE crema x 150 g,0,1,1,0,0,0,0,"11635,66",16/12/2024,16/12/2024,REUMOL DESINFLAMANTE crema x 150 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"8431,638", ,1004300012, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
9689,CALLICIDA CABUCHI sol.x 8 g,0,1,1,0,0,0,0,"9848,53",16/12/2024,16/12/2024,CALLICIDA CABUCHI sol.x 8 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"7136,616", ,1004300101, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10234,GENTADERM cr.dérmica x 15 g,0,1,1,0,0,0,0,4200,16/12/2024,16/12/2024,GENTADERM cr.dÃ©rmica x 15 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"3043,478", ,1004600000, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10235,DERMEXANE cr.x 30 g,0,1,1,0,0,0,0,13280,16/12/2024,16/12/2024,DERMEXANE cr.x 30 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"9623,188", ,1004600003, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10236,DERMEXANE ung.x 30 g,0,1,1,0,0,0,0,11950,16/12/2024,16/12/2024,DERMEXANE ung.x 30 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"8659,42", ,1004600004, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10237,ITRAC 100 caps.x 15,0,1,1,0,0,0,0,15450,16/12/2024,16/12/2024,ITRAC 100 caps.x 15,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"11195,652", ,1004600005, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10239,MICOSEP DEO aer.x 110 g,0,1,1,0,0,0,0,13990,16/12/2024,16/12/2024,MICOSEP DEO aer.x 110 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"10137,681", ,1004600007, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10240,TRICOMAX caps.x 30,0,1,1,0,0,0,0,17700,16/12/2024,16/12/2024,TRICOMAX caps.x 30,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"12826,087", ,1004600008, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10241,MICOSEP pasta dérm.x 30 g,0,1,1,0,0,0,0,7360,16/12/2024,16/12/2024,MICOSEP pasta dÃ©rm.x 30 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"5333,333", ,1004600012, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10242,NEOQUIN gel x 40 g,0,1,1,0,0,0,0,9590,16/12/2024,16/12/2024,NEOQUIN gel x 40 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"6949,275", ,1004600013, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10243,SINALER B jbe.x 50 ml,0,1,1,0,0,0,0,6040,16/12/2024,16/12/2024,SINALER B jbe.x 50 ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"4376,812", ,1004600021, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10244,EPOGEN 2000 UI f.a.x 1 x 1 ml,0,1,1,0,0,0,0,13180,16/12/2024,16/12/2024,EPOGEN 2000 UI f.a.x 1 x 1 ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"9550,725", ,1004600022, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10245,KERATOPIC 40 cr.x 15 g,0,1,1,0,0,0,0,8060,16/12/2024,16/12/2024,KERATOPIC 40 cr.x 15 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"5840,58", ,1004600026, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10246,XEROBASE 20 cr.x 30 g,0,1,1,0,0,0,0,7730,16/12/2024,16/12/2024,XEROBASE 20 cr.x 30 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"5601,449", ,1004600027, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10247,BETACORT CASSARA gts.x 15 ml,0,1,1,0,0,0,0,4200,16/12/2024,16/12/2024,BETACORT CASSARA gts.x 15 ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"3043,478", ,1004600028, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10249,CLIDAN gel dérm.x 15 g,0,1,1,0,0,0,0,7810,16/12/2024,16/12/2024,CLIDAN gel dÃ©rm.x 15 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"5659,42", ,1004600033, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10250,SALICORT CAPILAR loc.x 30 ml,0,1,1,0,0,0,0,7000,16/12/2024,16/12/2024,SALICORT CAPILAR loc.x 30 ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"5072,464", ,1004600034, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10251,ATOPIX comp.rec.x 20,0,1,1,0,0,0,0,11230,16/12/2024,16/12/2024,ATOPIX comp.rec.x 20,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"8137,681", ,1004600035, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10253,ATOPIX gts.x 20 ml,0,1,1,0,0,0,0,7650,16/12/2024,16/12/2024,ATOPIX gts.x 20 ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"5543,478", ,1004600038, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10255,SALICORT ung.dérm.x 30 g,0,1,1,0,0,0,0,5900,16/12/2024,16/12/2024,SALICORT ung.dÃ©rm.x 30 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"4275,362", ,1004600040, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10256,VIXALERG comp.x 10,0,1,1,0,0,0,0,4200,16/12/2024,16/12/2024,VIXALERG comp.x 10,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"3043,478", ,1004600041, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10257,XYLISOL spray nasal x 25 ml,0,1,1,0,0,0,0,10610,16/12/2024,16/12/2024,XYLISOL spray nasal x 25 ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"7688,406", ,1004600044, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10258,AEROTROP sol.neb.x24 unid.x 2.5ml,0,1,1,0,0,0,0,16940,16/12/2024,16/12/2024,AEROTROP sol.neb.x24 unid.x 2.5ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"12275,362", ,1004600046, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10259,ANAGEN 5% loc.capilar x 100 ml,0,1,1,0,0,0,0,13140,16/12/2024,16/12/2024,ANAGEN 5% loc.capilar x 100 ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"9521,739", ,1004600047, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10260,XEROBASE emuls.x 100 g,0,1,1,0,0,0,0,11380,16/12/2024,16/12/2024,XEROBASE emuls.x 100 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"8246,377", ,1004600048, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10261,METRAL 1% cr.x 30 g,0,1,1,0,0,0,0,12130,16/12/2024,16/12/2024,METRAL 1% cr.x 30 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"8789,855", ,1004600050, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10262,SALBUTRAL AC sol.p/neb.unid.x24x2.5ml,0,1,1,0,0,0,0,19990,16/12/2024,16/12/2024,SALBUTRAL AC sol.p/neb.unid.x24x2.5ml,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"14485,507", ,1004600052, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
10263,CLIDAN B gel x 30 g,0,1,1,0,0,0,0,15540,16/12/2024,16/12/2024,CLIDAN B gel x 30 g,N,1,1,5,0,16/12/2024,16/12/2024,*,N,0,-1,0,"11260,87", ,1004600055, ,-1,1,1,N,-1,0,1,0,1/12/2024,31/12/2024
