codigoInterno	Nom Reducido	idItem	idTipoIVA	idCategoria	IDSubRubro	Codigo_de_Envase_asociado	Porc_de_Impuesto_Interno	precio_final	FechaUltimoPrecio	descrip reducida	Eliminacion_de_item	Tipo de Unidad	Unidad	Dias_de_Vencimiento	Tamanio de Letra	FechaUltimoPrecio	Codigo_Adicional	Permite_Modif_Descripcion	Precio adicional de venta con IVA	Codigo de Plantilla de Etiqueta	Codigo de IVA Diferencial	UltimoPrecio	Precio_de_Oferta_Etiquetas	IDProducto	Codigo_de_envase_asociado_ERP	Monto_de_Impuesto_Interno	idTipoIVA	Aplica_Percepcion_5329	Costo _el_articulo	idProveedor	IDRubro	idMarca	Fecha Inicio	Fecha Fin
8029	URODIF DUO caps.lib.modificada x 30	0	1	0	0	0	0	68044,39	16/12/2024	URODIF DUO caps.lib.modificada x 30	N	1	1	5	0	16/12/2024	*	N	0	-1	0	49307,529	 	1002100352	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8030	DIOXADOL sol.x 30 ml	0	1	0	0	0	0	10982,19	14/12/2024	DIOXADOL sol.x 30 ml	N	1	1	5	0	14/12/2024	*	N	0	-1	0	7958,109	 	1002101804	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8031	DIOXADOL jbe.x 200 ml	0	1	0	0	0	0	14130,67	14/12/2024	DIOXADOL jbe.x 200 ml	N	1	1	5	0	14/12/2024	*	N	0	-1	0	10239,616	 	1002101806	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8032	MEPACT 4 mg vial x 1	0	1	0	0	0	0	11816860,07	16/12/2024	MEPACT 4 mg vial x 1	N	1	1	5	0	16/12/2024	*	N	0	-1	0	8562942,08	 	1003900089	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8033	MYVITLA 2.3 mg caps.x 3	0	1	0	0	0	0	16524703,58	16/12/2024	MYVITLA 2.3 mg caps.x 3	N	1	1	5	0	16/12/2024	*	N	0	-1	0	11974422,88	 	1003900092	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8034	MYVITLA 3 mg caps.x 3	0	1	0	0	0	0	16524703,58	16/12/2024	MYVITLA 3 mg caps.x 3	N	1	1	5	0	16/12/2024	*	N	0	-1	0	11974422,88	 	1003900093	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8035	MYVITLA 4 mg caps.x 3	0	1	0	0	0	0	16524703,58	16/12/2024	MYVITLA 4 mg caps.x 3	N	1	1	5	0	16/12/2024	*	N	0	-1	0	11974422,88	 	1003900094	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8036	ENTYVIO 300 mg vial x 1	0	1	0	0	0	0	5259313,48	16/12/2024	ENTYVIO 300 mg vial x 1	N	1	1	5	0	16/12/2024	*	N	0	-1	0	3811096,725	 	1003900095	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8037	FIRAZYR 30 MG jga. prellenada x 3 ml	0	1	0	0	0	0	4819503,16	16/12/2024	FIRAZYR 30 MG jga. prellenada x 3 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	3492393,594	 	1003900096	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8038	QDENGA vial x1+dil.x0.5ml+ag.x2	0	1	0	0	0	0	102811,99	16/12/2024	QDENGA vial x1+dil.x0.5ml+ag.x2	N	1	1	5	0	16/12/2024	*	N	0	-1	0	74501,442	 	1003900097	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8039	LIVTENCITY 200 mg comp.rec.x 28	0	1	0	0	0	0	9631778,36	16/12/2024	LIVTENCITY 200 mg comp.rec.x 28	N	1	1	5	0	16/12/2024	*	N	0	-1	0	6979549,536	 	1003900098	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8040	MUELITA sol.x 15 ml	0	1	0	0	0	0	8112,83	16/12/2024	MUELITA sol.x 15 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	5878,862	 	1004300001	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8041	MUELITA GEL ADULTOS gel pomo x 10 g	0	1	0	0	0	0	7659,88	16/12/2024	MUELITA GEL ADULTOS gel pomo x 10 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	5550,638	 	1004300002	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8042	MUELITA GEL PEDIATRICO gel pomo x 10 g	0	1	0	0	0	0	8111,92	16/12/2024	MUELITA GEL PEDIATRICO gel pomo x 10 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	5878,203	 	1004300003	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8043	MUELITA FORTE GEL gel pomo x 10 g	0	1	0	0	0	0	8086,82	16/12/2024	MUELITA FORTE GEL gel pomo x 10 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	5860,014	 	1004300007	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8044	REUMOL DICLO FORTE GEL pomo x 50 g	0	1	0	0	0	0	11429,59	16/12/2024	REUMOL DICLO FORTE GEL pomo x 50 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	8282,312	 	1004300008	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8045	OPALINO gts.x 15 ml	0	1	0	0	0	0	8695,38	16/12/2024	OPALINO gts.x 15 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	6301	 	1004300010	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8046	REUMOL DESINFLAMANTE crema x 45 g	0	1	0	0	0	0	8128,3	16/12/2024	REUMOL DESINFLAMANTE crema x 45 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	5890,072	 	1004300011	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8047	REUMOL DESINFLAMANTE crema x 150 g	0	1	0	0	0	0	11635,66	16/12/2024	REUMOL DESINFLAMANTE crema x 150 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	8431,638	 	1004300012	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8048	CALLICIDA CABUCHI sol.x 8 g	0	1	0	0	0	0	9848,53	16/12/2024	CALLICIDA CABUCHI sol.x 8 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	7136,616	 	1004300101	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8049	GENTADERM cr.dérmica x 15 g	0	1	0	0	0	0	4200	16/12/2024	GENTADERM cr.dérmica x 15 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	3043,478	 	1004600000	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8050	DERMEXANE cr.x 30 g	0	1	0	0	0	0	13280	16/12/2024	DERMEXANE cr.x 30 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	9623,188	 	1004600003	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8051	DERMEXANE ung.x 30 g	0	1	0	0	0	0	11950	16/12/2024	DERMEXANE ung.x 30 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	8659,42	 	1004600004	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8052	ITRAC 100 caps.x 15	0	1	0	0	0	0	15450	16/12/2024	ITRAC 100 caps.x 15	N	1	1	5	0	16/12/2024	*	N	0	-1	0	11195,652	 	1004600005	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8053	MICOSEP DEO aer.x 110 g	0	1	0	0	0	0	13990	16/12/2024	MICOSEP DEO aer.x 110 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	10137,681	 	1004600007	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8054	TRICOMAX caps.x 30	0	1	0	0	0	0	17700	16/12/2024	TRICOMAX caps.x 30	N	1	1	5	0	16/12/2024	*	N	0	-1	0	12826,087	 	1004600008	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8055	MICOSEP pasta dérm.x 30 g	0	1	0	0	0	0	7360	16/12/2024	MICOSEP pasta dérm.x 30 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	5333,333	 	1004600012	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8056	NEOQUIN gel x 40 g	0	1	0	0	0	0	9590	16/12/2024	NEOQUIN gel x 40 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	6949,275	 	1004600013	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8057	SINALER B jbe.x 50 ml	0	1	0	0	0	0	6040	16/12/2024	SINALER B jbe.x 50 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	4376,812	 	1004600021	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8058	EPOGEN 2000 UI f.a.x 1 x 1 ml	0	1	0	0	0	0	13180	16/12/2024	EPOGEN 2000 UI f.a.x 1 x 1 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	9550,725	 	1004600022	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8059	KERATOPIC 40 cr.x 15 g	0	1	0	0	0	0	8060	16/12/2024	KERATOPIC 40 cr.x 15 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	5840,58	 	1004600026	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8060	XEROBASE 20 cr.x 30 g	0	1	0	0	0	0	7730	16/12/2024	XEROBASE 20 cr.x 30 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	5601,449	 	1004600027	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8061	BETACORT CASSARA gts.x 15 ml	0	1	0	0	0	0	4200	16/12/2024	BETACORT CASSARA gts.x 15 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	3043,478	 	1004600028	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8062	CLIDAN gel dérm.x 15 g	0	1	0	0	0	0	7810	16/12/2024	CLIDAN gel dérm.x 15 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	5659,42	 	1004600033	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8063	SALICORT CAPILAR loc.x 30 ml	0	1	0	0	0	0	7000	16/12/2024	SALICORT CAPILAR loc.x 30 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	5072,464	 	1004600034	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8064	ATOPIX comp.rec.x 20	0	1	0	0	0	0	11230	16/12/2024	ATOPIX comp.rec.x 20	N	1	1	5	0	16/12/2024	*	N	0	-1	0	8137,681	 	1004600035	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8065	ATOPIX gts.x 20 ml	0	1	0	0	0	0	7650	16/12/2024	ATOPIX gts.x 20 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	5543,478	 	1004600038	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8066	SALICORT ung.dérm.x 30 g	0	1	0	0	0	0	5900	16/12/2024	SALICORT ung.dérm.x 30 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	4275,362	 	1004600040	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8067	VIXALERG comp.x 10	0	1	0	0	0	0	4200	16/12/2024	VIXALERG comp.x 10	N	1	1	5	0	16/12/2024	*	N	0	-1	0	3043,478	 	1004600041	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8068	XYLISOL spray nasal x 25 ml	0	1	0	0	0	0	10610	16/12/2024	XYLISOL spray nasal x 25 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	7688,406	 	1004600044	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8069	AEROTROP sol.neb.x24 unid.x 2.5ml	0	1	0	0	0	0	16940	16/12/2024	AEROTROP sol.neb.x24 unid.x 2.5ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	12275,362	 	1004600046	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8070	ANAGEN 5% loc.capilar x 100 ml	0	1	0	0	0	0	13140	16/12/2024	ANAGEN 5% loc.capilar x 100 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	9521,739	 	1004600047	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8071	XEROBASE emuls.x 100 g	0	1	0	0	0	0	11380	16/12/2024	XEROBASE emuls.x 100 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	8246,377	 	1004600048	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8072	METRAL 1% cr.x 30 g	0	1	0	0	0	0	12130	16/12/2024	METRAL 1% cr.x 30 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	8789,855	 	1004600050	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8073	SALBUTRAL AC sol.p/neb.unid.x24x2.5ml	0	1	0	0	0	0	19990	16/12/2024	SALBUTRAL AC sol.p/neb.unid.x24x2.5ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	14485,507	 	1004600052	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8074	CLIDAN B gel x 30 g	0	1	0	0	0	0	15540	16/12/2024	CLIDAN B gel x 30 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	11260,87	 	1004600055	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8075	BUTOCORT HFA aer.x 250 dosis	0	1	0	0	0	0	15540	16/12/2024	BUTOCORT HFA aer.x 250 dosis	N	1	1	5	0	16/12/2024	*	N	0	-1	0	11260,87	 	1004600058	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8076	NIUX spray nasal x 200 ds.	0	1	0	0	0	0	22340	16/12/2024	NIUX spray nasal x 200 ds.	N	1	1	5	0	16/12/2024	*	N	0	-1	0	16188,406	 	1004600059	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8077	TRICOMAX 2 caps.x 90	0	1	0	0	0	0	36980	16/12/2024	TRICOMAX 2 caps.x 90	N	1	1	5	0	16/12/2024	*	N	0	-1	0	26797,101	 	1004600060	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8078	TRICOMAX loción folicular x 30 ml	0	1	0	0	0	0	18640	16/12/2024	TRICOMAX loción folicular x 30 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	13507,246	 	1004600062	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8079	MICOSEP polvo x 30 g	0	1	0	0	0	0	10920	16/12/2024	MICOSEP polvo x 30 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	7913,043	 	1004600064	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8080	IBUSOL FORTE susp.anana x 100 ml	0	1	0	0	0	0	5900	16/12/2024	IBUSOL FORTE susp.anana x 100 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	4275,362	 	1004600065	 	-1	1	N	-1	0	1	682	1/12/2024	31/12/2024
8081	IBUSOL gts. x 20 ml	0	1	0	0	0	0	5070	16/12/2024	IBUSOL gts. x 20 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	3673,913	 	1004600066	 	-1	1	N	-1	0	1	682	1/12/2024	31/12/2024
8082	CLAMOXOL DUO comp.rec.x 14	0	1	0	0	0	0	13600	16/12/2024	CLAMOXOL DUO comp.rec.x 14	N	1	1	5	0	16/12/2024	*	N	0	-1	0	9855,072	 	1004600067	 	-1	1	N	-1	0	1	942	1/12/2024	31/12/2024
8083	MODULCASS 5% cr.derm.x 3 g	0	1	0	0	0	0	15510	16/12/2024	MODULCASS 5% cr.derm.x 3 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	11239,13	 	1004600069	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8084	DERMEXANE CAPILAR loc.x 30 ml	0	1	0	0	0	0	12350	16/12/2024	DERMEXANE CAPILAR loc.x 30 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	8949,275	 	1004600072	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8085	OXILER D spray x 10 ml	0	1	0	0	0	0	11200	16/12/2024	OXILER D spray x 10 ml	N	1	1	5	0	16/12/2024	*	N	0	-1	0	8115,942	 	1004600076	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8086	AEROTROP spray nasal x 120 dosis	0	1	0	0	0	0	10290	16/12/2024	AEROTROP spray nasal x 120 dosis	N	1	1	5	0	16/12/2024	*	N	0	-1	0	7456,522	 	1004600080	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
8087	DERMEXANE espuma x 60 g	0	1	0	0	0	0	19310	16/12/2024	DERMEXANE espuma x 60 g	N	1	1	5	0	16/12/2024	*	N	0	-1	0	13992,754	 	1004600081	 	-1	1	N	-1	0	1	0	1/12/2024	31/12/2024
